	BindingDB_Reactant_set_id	Name	Ligand_SMILES	IC50 (nM)	pIC50
28	50400909		Cl.CN(C)c1ccc(cc1)C(=O)NCCNc1c2CCCCc2nc2ccccc12	0.4	9.397940008672037
29	51101681	BindingDB_50422394_mol_1	COc1ccccc1CN(CCCCCCN)CCCCCCCCN(CCCCCCN)Cc1ccccc1OC	0.4	9.397940008672037
30	50504033	BindingDB_50292394_mol_1	COc1cc(cc(OC)c1OC)-c1cc2O[C@]3(C)CC[C@@]4(O)[C@](C)(CO)C=CC(=O)[C@]4(C)[C@@]3(O)Cc2c(=O)o1	0.423	9.373659632624957
31	50280821		[Cl-].Clc1ccccc1C[n+]1ccc(\C=C2\C(=O)Nc3ccccc23)cc1	0.44	9.356547323513812
32	50394868	BindingDB_50111776	[I-].[I-].C[n+]1ccc2n(CCCCCCCCCn3c4ccccc4c4c[n+](C)ccc34)c3ccccc3c2c1	0.45	9.346787486224656
33	50981880	BindingDB_50402576_mol_1	Fc1ccc(C[n+]2ccc(\C=C\C(=O)c3cc4cc(Br)ccc4oc3=O)cc2)cc1	0.46	9.337242168318426
34	50981891	BindingDB_50402587_mol_1	COc1cccc2cc(C(=O)\C=C\c3cc[n+](Cc4ccccc4Cl)cc3)c(=O)oc12	0.46	9.337242168318426
35	50849633	BindingDB_50225209_mol_1	CC[N+](CC)(CC)CCOc1ccc(cc1)C(=O)NCCCCCC(=O)NNc1c2CCCCc2nc2ccccc12	0.467	9.330683119433887
36	50981894	BindingDB_50402590_mol_1	COc1cccc2cc(C(=O)\C=C\c3cc[n+](Cc4cccc(F)c4)cc3)c(=O)oc12	0.47	9.327902142064282
37	50506916	BindingDB_50293451_mol_1	C[N+]1(CCC(=O)Nc2ccc-3c(c2)C(=O)c2cccc4ccnc-3c24)CCCCC1	0.48	9.318758762624412
38	51265823	 	CCn1cc(-c2nnc(O)n2Cc2ccccc2)c(=O)c2cc(Cl)c(F)cc12	0.48	9.318758762624412
39	50574351	BindingDB_50317179_mol_1	C[n+]1ccc2c(c1)n(CCCCCCCCCn1c3ccccc3c3cc[n+](C)cc13)c1ccccc21	0.492	9.30803489723264
40	51066400	BindingDB_50435270_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	0.495	9.30539480106643
41	50400915		Cl.CN(C)c1ccc(cc1)C(=O)NCCCCCCCCNc1c2CCCCc2nc2ccccc12	0.5	9.301029995663981
42	50394870	BindingDB_50111774	[I-].[I-].C[n+]1ccc2n(CCCCCCCn3c4ccccc4c4c[n+](C)ccc34)c3ccccc3c2c1	0.5	9.301029995663981
43	50400916		Cl.CN(C)c1ccc(cc1)C(=O)NCCCCCCCCCNc1c2CCCCc2nc2ccccc12	0.5	9.301029995663981
44	51265831	 	CCn1c(O)nnc1-c1cn(CC)c2ccc(C)cc2c1=O	0.52	9.2839966563652
45	50954083	BindingDB_50391537_mol_1	CN(C)c1ccccc1CNCCCCCCCCCNc1c2CCCCc2nc2ccccc12	0.55	9.259637310505756
46	51061472	BindingDB_50433027_mol_1	Fc1ccc[n+](CC(=O)Nc2ccc3nc4c5[nH]c6ccccc6c5ccn4c(=O)c3c2)c1	0.6	9.221848749616356
47	50400913		Cl.CN(C)c1ccc(cc1)C(=O)NCCCCCCNc1c2CCCCc2nc2ccccc12	0.6	9.221848749616356
48	51066422	BindingDB_50435291_mol_1	NCCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	0.604	9.218963061378869
49	50394869	BindingDB_50111775	[I-].[I-].C[n+]1ccc2n(CCCCCCCCn3c4ccccc4c4c[n+](C)ccc34)c3ccccc3c2c1	0.64	9.193820026016112
50	51066420	BindingDB_50435289_mol_1	NCCCCCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	0.648	9.188424994129406
51	51066398	BindingDB_50435268_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	0.776	9.110138278741811
52	51061473	BindingDB_50433028_mol_1	O=C(C[n+]1ccccc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1	0.8	9.096910013008056
53	51223280	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1ccc(C)cc1	0.92	9.036212172654444
54	51066421	BindingDB_50435290_mol_1	NCCCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	0.932	9.030584087646018
55	51066376	BindingDB_50435278_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	1.0	9.0
56	51030040	BindingDB_50292241_mol_1	Cl.Clc1cc(cnc1Cl)C(=O)NCCCNc1c2CCCCc2nc2ccccc12	1.0	9.0
57	50850845	BindingDB_50211239_mol_1	C[N+]1(CCC(=O)Nc2ccc-3c(c2)C(=O)c2cccc4ccnc-3c24)CCCC1	1.06	8.97469413473523
58	50850874	BindingDB_50211252_mol_1	C[N+]1(CC(=O)Nc2ccc-3c(c2)C(=O)c2cccc4ccnc-3c24)CCCC1	1.08	8.96657624451305
59	51140370		C#CCNc1nc(NCCCC2CCN(Cc3ccccc3)CC2)c(cc1C#N)C#N	1.1	8.958607314841775
60	51066407	BindingDB_50435277_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	1.1	8.958607314841775
61	51066423	BindingDB_50435292_mol_1	NCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	1.1	8.958607314841775
62	50044972	BindingDB_50055206_mol_1	COc1cc(ccc1C)[N+](C)(C)C	1.2	8.920818753952375
63	50574352	BindingDB_50317178_mol_1	C[n+]1ccc2c(c1)n(CCCCCCCCCCCCn1c3ccccc3c3cc[n+](C)cc13)c1ccccc21	1.2	8.920818753952375
64	50849621	BindingDB_50225215_mol_1	CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)cc(c1)C(=O)NCCCCCC(=O)NNc1c2CCCCc2nc2ccccc12	1.28	8.892790030352131
65	50280820		[Cl-].Fc1ccccc1C[n+]1ccc(\C=C2\C(=O)Nc3ccccc23)cc1	1.3	8.886056647693163
66	51223286	 	CCCCCCC(=O)N1CCCC2(O)C1N(C)c1ccccc21	1.3	8.886056647693163
67	50954084	BindingDB_50391538_mol_1	CCN(CC)c1ccccc1CNCCCCCCCCNc1c2CCCCc2nc2ccccc12	1.36	8.866461091629782
68	51223288	 	COc1ccc(cc1)C(=O)N1CCC2(Cc3cccc(C)c3)C1N(Cc1cccc(C)c1)c1ccccc21	1.4	8.853871964321762
69	51223284	 	Cc1cccc(CN2C3N(CCC3(Cc3cccc(C)c3)c3ccccc23)S(=O)(=O)c2ccccc2)c1	1.4	8.853871964321762
70	50044958	BindingDB_50055163_mol_1	Cc1c(O)cccc1[N+](C)(C)C	1.4	8.853871964321762
71	50280823		[Cl-].Brc1ccccc1C[n+]1ccc(\C=C2\C(=O)Nc3ccccc23)cc1	1.5	8.823908740944319
72	50954082	BindingDB_50391536_mol_1	CN(C)c1ccccc1CNCCCCCCCCNc1c2CCCCc2nc2ccccc12	1.55	8.809668301829708
73	51223269	 	Cc1cccc(CN2C3N(CCC3(Cc3cccc(C)c3)c3ccccc23)C(=O)C(F)(F)F)c1	1.6	8.795880017344075
74	51030039	BindingDB_50292240_mol_1	Cl.Clc1cc(cnc1Cl)C(=O)NCCCCNc1c2CCCCc2nc2ccccc12	1.7	8.769551078621726
75	51223300	 	CN1C2N(CCCC2(O)c2ccccc12)C(=O)c1cccc(C)c1	1.8	8.744727494896694
76	50941569	BindingDB_50386070_mol_1	COc1cc2C\C(=C\c3ccncc3)C(=O)c2cc1OCCN1CCCCC1	1.8	8.744727494896694
77	50787804		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4ccccc4F)cc3)C(=O)c2cc1OC	1.9	8.721246399047171
78	51083990	BindingDB_50443518_mol_1	Brc1ccc2oc(=O)c(cc2c1)C(=O)NCCC1CCN(Cc2ccccc2)CC1	2.0	8.698970004336019
79	51066385	Tacrine	CCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	2.0	8.698970004336019
80	51083985	BindingDB_50443513_mol_1	COc1cccc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)c(=O)oc12	2.0	8.698970004336019
81	50296513		C(CNCc1cccnc1)CN1CCC(Cc2ccccc2)CC1	2.1	8.67778070526608
82	51061460	BindingDB_50433018_mol_1	Fc1ccc[n+](CCC(=O)Nc2ccc3nc4c5[nH]c6ccccc6c5ccn4c(=O)c3c2)c1	2.1	8.67778070526608
83	50394866	BindingDB_50111778	[I-].[I-].CC[n+]1ccc2n(CCCCCCCCCn3c4ccccc4c4c[n+](CC)ccc34)c3ccccc3c2c1	2.3	8.638272163982407
84	51223263	 	CCCCCC(=O)N1CCCC2(O)C1N(C)c1ccccc21	2.3	8.638272163982407
85	51061461	BindingDB_50433019_mol_1	O=C(CC[n+]1ccccc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1	2.3	8.638272163982407
86	51066415	BindingDB_50435285_mol_1	CCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	2.3	8.638272163982407
87	50464325	BindingDB_50280625_mol_1	Nc1c2C3CCC(C3)c2nc2cc(Cl)ccc12	2.3	8.638272163982407
88	50044953	BindingDB_50055162_mol_1	COc1cccc(c1C)[N+](C)(C)C	2.4	8.619788758288394
89	50850865	BindingDB_50211241_mol_1	O=C(CCN1CCCC1)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	2.47	8.607303046740334
90	51066380	BindingDB_50435282_mol_1	OCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	2.5	8.602059991327963
91	50542256		COc1cc2OC\C(=C/c3ccc(CN4CCCCC4)c(O)c3)C(=O)c2cc1OC	2.5	8.602059991327963
92	50850856	BindingDB_50211250_mol_1	C[N+]1(CCCC(=O)Nc2ccc-3c(c2)C(=O)c2cccc4ccnc-3c24)CCCC1	2.51	8.600326278518962
93	51038507		COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc3ccccc23)cc(OC)c1OCc1nc(C)c(C)nc1C	2.6	8.585026652029182
94	51085804		COc1cc2[se]n(CCCCCCNc3c4CCCCc4nc4ccccc34)c(=O)c2cc1OC	2.6	8.585026652029182
95	50506910	BindingDB_50293446_mol_1	CC[N+](C)(CC)CCC(=O)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	2.62	8.581698708680255
96	50850853	BindingDB_50371216_mol_1	CC[N+](C)(CC)CCCC(=O)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	2.62	8.581698708680255
97	50558484	BindingDB_50310599_mol_1	COc1cc2CC(C(=O)c3cc(OC)c(OC)c(OC)c3)C(=O)c2cc1OC	2.7	8.568636235841012
98	24322	15i	COc1cc(cc(OC)c1OC)C(=O)NCCCCCCCCC(=O)NNc1c2CCCCc2nc2ccccc12	2.73	8.563837352959244
99	50044915	BindingDB_50055185_mol_1	Cc1ccc(O)cc1[N+](C)(C)C	2.8	8.55284196865778
100	51223292	 	CCCC(=O)N1CCC2(Cc3cccc(C)c3)C1N(Cc1cccc(C)c1)c1ccccc21	2.9	8.537602002101044
101	51030038	BindingDB_50292239_mol_1	Cl.Clc1cc(cnc1Cl)C(=O)NCCCCCNc1c2CCCCc2nc2ccccc12	2.9	8.537602002101044
102	50787836		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4ccccc4Br)cc3)C(=O)c2cc1OC	2.9	8.537602002101044
103	50966019	Heterodimeric	NCCCCCCCCNc1c2CCCCc2nc2ccccc12	2.9	8.537602002101044
104	51066405	BindingDB_50435275_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	2.9	8.537602002101044
105	50787833	BindingDB_50117587	COc1cc2C\C(=C/c3cc[n+](Cc4ccccc4)cc3)C(=O)c2cc1OC	2.9	8.537602002101044
106	50464336	Tacrine	Nc1c2CCCCc2nc2cc(Cl)ccc12	2.9	8.537602002101044
107	50954085	BindingDB_50391539_mol_1	C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNCc1ccccn1	2.95	8.530177984021837
108	50044929	BindingDB_50055199_mol_1	CC(=O)Oc1cccc(c1)[N+](C)(C)C	3.0	8.522878745280337
109	51217876		Cc1cc(=O)oc2c1ccc1oc(=N)c(cc21)C(=O)NCc1cccc(Br)c1	3.0	8.522878745280337
110	51223272	 	Cc1cccc(CN2C3N(CCC3(Cc3cccc(C)c3)c3ccccc23)C(=O)COc2ccccc2)c1	3.1	8.508638306165727
111	50394864	BindingDB_50111780	[I-].[I-].CCC[n+]1ccc2n(CCCCCCCCCn3c4ccccc4c4c[n+](CCC)ccc34)c3ccccc3c2c1	3.1	8.508638306165727
112	51030034	BindingDB_50292235_mol_1	Cl.Clc1cc(cnc1Cl)C(=O)NCCCCCCCCCNc1c2CCCCc2nc2ccccc12	3.1	8.508638306165727
113	50044945	BindingDB_50055204_mol_1	Cc1ccc(cc1O)[N+](C)(C)C	3.1	8.508638306165727
114	51061464	BindingDB_50433022_mol_1	O=C(COc1cccnc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1	3.1	8.508638306165727
115	50869245	BindingDB_50377432_mol_1	NCCCCCNc1c2CCCCc2nc2ccccc12	3.2	8.494850021680094
116	24321	15h	COc1cc(cc(OC)c1OC)C(=O)NCCCCCCCC(=O)NNc1c2CCCCc2nc2ccccc12	3.25	8.488116639021126
117	51223290	 	Cc1ccccc1CN1C2N(CCC2(Cc2ccccc2C)c2ccccc12)C(=O)C(F)(F)F	3.3	8.481486060122112
118	50662062	BindingDB_50353684_mol_1	O=C(CCNCCNc1c2CCCCc2nc2ccccc12)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	3.4	8.468521082957745
119	50787805		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4cccc(F)c4)cc3)C(=O)c2cc1OC	3.4	8.468521082957745
120	50954081	BindingDB_50391535_mol_1	CN(C)c1ccccc1CNCCCCCCCNc1c2CCCCc2nc2ccccc12	3.5	8.455931955649724
121	50044981	BindingDB_50055180_mol_1	COc1ccc(C)c(c1)[N+](C)(C)C	3.5	8.455931955649724
122	50966008	BindingDB_50396133_mol_1	COc1cc(\C=C\C(=O)NCCCNc2c3CCCCc3nc3ccccc23)ccc1OCCCCO[N+]([O-])=O	3.6	8.443697499232712
123	50966000	BindingDB_50396125_mol_1	COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc3ccccc23)ccc1OCCCCO[N+]([O-])=O	3.7	8.431798275933005
124	50044966	BindingDB_50055193_mol_1	CCC(=O)Oc1cc(ccc1C)[N+](C)(C)C	3.8	8.42021640338319
125	51038518		COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc3ccccc23)cc(OC)c1O	3.9	8.4089353929735
126	51061447	BindingDB_50433005_mol_1	O=C(CCC[n+]1ccccc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1	3.9	8.4089353929735
127	50314973		[Br-].Cc1cc(C)cc(C[n+]2ccc(cc2)-c2cc3ccccc3o2)c1	4.1	8.387216143280265
128	50280825		[Cl-].Fc1cccc(Cl)c1C[n+]1ccc(\C=C2\C(=O)Nc3ccccc23)cc1	4.1	8.387216143280265
129	50394867	BindingDB_50111777	[I-].[I-].COc1ccc2n(CCCCCCCCCn3c4ccc(OC)cc4c4c[n+](C)ccc34)c3cc[n+](C)cc3c2c1	4.1	8.387216143280265
130	50044926	BindingDB_50055171_mol_1	CC(=O)Oc1cccc(c1C)[N+](C)(C)C	4.1	8.387216143280265
131	50787808		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4cccc(C)c4)cc3)C(=O)c2cc1OC	4.2	8.3767507096021
132	51030037	BindingDB_50292238_mol_1	Cl.Clc1cc(cnc1Cl)C(=O)NCCCCCCNc1c2CCCCc2nc2ccccc12	4.2	8.3767507096021
133	50558483	BindingDB_50310598_mol_1	COc1ccc(cc1OC)C(=O)C1Cc2cc(OC)c(OC)cc2C1=O	4.3	8.366531544420413
134	50787813		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4cccc(Br)c4)cc3)C(=O)c2cc1OC	4.4	8.356547323513812
135	50966001	BindingDB_50396126_mol_1	COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc3ccccc23)ccc1OCCCO[N+]([O-])=O	4.4	8.356547323513812
136	50929470	BindingDB_50377439_mol_1	COc1cc(\C=C\C(=O)NCCCCCNc2c3CCCCc3nc3ccccc23)ccc1O	4.4	8.356547323513812
137	50464308	BindingDB_50279984_mol_1	Nc1c2CCCCc2nc2cccc(Cl)c12	4.4	8.356547323513812
138	50941553	BindingDB_50386065_mol_1	COc1cc2C\C(=C\c3ccccn3)C(=O)c2cc1OCCN1CCCCC1	4.4	8.356547323513812
139	50642734	BindingDB_50345200_mol_1	COc1cc(CNCCCCCCCCNc2c3CCCCc3nc3ccccc23)ccc1O	4.55	8.341988603342887
140	50787807		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4ccc(F)cc4)cc3)C(=O)c2cc1OC	4.6	8.337242168318426
141	50642735	BindingDB_50345201_mol_1	COc1cc(CNCCCCCCCCNc2c3CCCCc3nc3ccccc23)cc(OC)c1O	4.61	8.336299074610352
142	50642740	BindingDB_50345206_mol_1	C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNCc1ccncc1	4.7	8.327902142064282
143	50850869	BindingDB_50211253_mol_1	C[N+](C)(C)CCCC(=O)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	4.79	8.319664486585436
144	51286472	 	O=C(CN1CCCCC1)Nc1n[nH]c2ncccc12	4.8	8.318758762624412
145	50965999	BindingDB_50396124_mol_1	COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc3ccccc23)ccc1OCCCCCCO[N+]([O-])=O	4.8	8.318758762624412
146	50506913	BindingDB_50211244_mol_1	C[N+](C)(C)CCC(=O)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	4.81	8.317854923626168
147	50280827		[Br-].Clc1cccc(C[n+]2ccc(\C=C3\C(=O)Nc4ccccc34)cc2)c1	4.9	8.309803919971486
148	50314976	BindingDB_50073217_mol_1	[Br-].[O-][N+](=O)c1ccccc1C[n+]1ccc(cc1)-c1cc2ccccc2o1	4.9	8.309803919971486
149	51286468	 	CN1CCN(CC(=O)Nc2n[nH]c3ncccc23)CC1	4.9	8.309803919971486
150	50283105	BindingDB_50053433_mol_1	O=c1n2Cc3ccccc3-c2nc2ccc(OCCCN3CCCCCC3)cc12	5.0	8.301029995663981
151	51077129	BindingDB_50440441_mol_1	Nc1c2CCCCc2nc2Oc3c(C(c4ccc(F)cc4)c12)c(=O)oc1ccccc31	5.0	8.301029995663981
152	51083987	BindingDB_50443515_mol_1	COc1ccc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)c(=O)oc2c1	5.0	8.301029995663981
153	50787835		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4ccccc4C)cc3)C(=O)c2cc1OC	5.1	8.292429823902063
154	51117895		Nc1c2CC(CCc2nc2ccccc12)C(=O)NCCCc1ccccc1	5.2	8.2839966563652
155	50280829	BindingDB_50052214_mol_1	[Cl-].Cc1cccc(C[n+]2ccc(\C=C3\C(=O)Nc4ccccc34)cc2)c1	5.2	8.2839966563652
156	51066414	BindingDB_50435284_mol_1	CCCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	5.2	8.2839966563652
157	50044928	BindingDB_50055188_mol_1	CC(=O)Oc1ccc(C)c(c1)[N+](C)(C)C	5.3	8.275724130399212
158	51066424	BindingDB_50435293_mol_1	NCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12	5.4	8.267606240177031
159	50283100	BindingDB_50053426_mol_1	O=c1n2CCc3ccccc3-c2nc2ccc(OCCCN3CCCCC3)cc12	5.5	8.259637310505756
160	50965998	BindingDB_50396123_mol_1	COc1cc(\C=C\C(=O)NCCCCCCCCNc2c3CCCCc3nc3ccccc23)ccc1OCCO[N+]([O-])=O	5.5	8.259637310505756
161	50492715		COc1ccc(CC(=O)OCC(=O)Nc2c3CCCCc3nc3ccccc23)c(OC)c1OC	5.6	8.2518119729938
162	50442182	BindingDB_50233374_mol_1	[O-][N+](=O)OCCCNCCCCNc1c2CCCCc2nc2ccccc12	5.6	8.2518119729938
163	50314974		[Br-].[O-][N+](=O)c1ccc(C[n+]2ccc(cc2)-c2cc3ccccc3o2)cc1	5.8	8.236572006437063
164	50787818		[Br-].COc1cc2C\C(=C/c3cc[n+](Cc4cccc(c4)[N+]([O-])=O)cc3)C(=O)c2cc1OC	5.9	8.229147988357855
165	51223268	 	CC(C)C(=O)N1CCC2(Cc3cccc(C)c3)C1N(Cc1cccc(C)c1)c1ccccc21	6.0	8.221848749616356
166	50044940	BindingDB_50055157_mol_1	CCC(=O)Oc1cccc(c1)[N+](C)(C)C	6.0	8.221848749616356
167	50645317	BindingDB_50346357_mol_1	COc1cccc(CN(C)[C@@H](C)[C@H]2[C@H](O)C[C@@]3(C)[C@@H]4CC[C@@H]5[C@]6(C[C@@]46C(=O)C[C@]23C)CC[C@@H]2N=C(SC[C@@]52C)C(C)C)c1	6.0	8.221848749616356
168	50044980	BindingDB_50055187_mol_1	COc1cccc(c1)[N+](C)(C)C	6.0	8.221848749616356
169	50642739	BindingDB_50345205_mol_1	C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNCc1ccc2OCOc2c1	6.14	8.211831628858832
170	51014502	BindingDB_50415461_mol_1	CN1CCC=C(C1)c1nsnc1OCCCOCCCCC(=O)NCCCCCCCCNc1c2CCCCc2nc2ccccc12	6.17	8.209714835966759
171	50954072	BindingDB_50345203_mol_1	Oc1ccccc1CNCCCCCCCCNc1c2CCCCc2nc2ccccc12	6.17	8.209714835966759
172	50850879	BindingDB_50211254_mol_1	O=C(CN1CCCC1)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	6.18	8.209011524911185
173	50558479	BindingDB_50310594_mol_1	COc1ccc(cc1)C(=O)C1Cc2cc(OC)c(OC)cc2C1=O	6.2	8.207608310501746
174	51085808		O=c1n(CCCCCCNc2c3CCCCc3nc3ccccc23)[se]c2ccccc12	6.3	8.200659450546418
175	51038580		Oc1ccccc1-c1nc2cc(ccc2[nH]1)C(=O)NCCNc1c2CCCCc2nc2cc(Cl)ccc12	6.3	8.200659450546418
176	51014503	BindingDB_50415462_mol_1	CN1CCC=C(C1)c1nsnc1OCCCOCCCC(=O)NCCCCCCCCNc1c2CCCCc2nc2ccccc12	6.46	8.189767482004916
177	50464332	BindingDB_50280627_mol_1	Nc1c2C3CCC(C3)c2nc2cccc(Cl)c12	6.5	8.187086643357144
178	51066370	BindingDB_50435272_mol_1	Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)c1C	6.6	8.18045606445813
179	50280830	BindingDB_50052215_mol_1	[Cl-].COc1cccc(C[n+]2ccc(\C=C3\C(=O)Nc4ccccc34)cc2)c1	6.6	8.18045606445813
180	50044825	BindingDB_50055192_mol_1	CC(=O)Oc1cc(ccc1C)[N+](C)(C)C	6.6	8.18045606445813
181	51014505	BindingDB_50415464_mol_1	CN1CCC=C(C1)c1nsnc1OCCCOCC(=O)NCCCCCCCCNc1c2CCCCc2nc2ccccc12	6.61	8.17979854051436
