	C0	CO2minus	Cofactor (VdW)	Cofactor (elec)	Cofactor (hbond)	Csp2	Csp3	DOF	E-Inter (cofactor - ligand)	E-Inter (protein - ligand)	E-Inter (water - ligand)	E-Inter total	E-Intra (clash)	E-Intra (elec)	E-Intra (hbond)	E-Intra (sp2-sp2)	E-Intra (steric)	E-Intra (tors)	E-Intra (tors, ligand atoms)	E-Intra (vdw)	E-Soft Constraint Penalty	E-Solvation	E-Total	Electro	ElectroLong	Energy	Filename	HBond	HeavyAtoms	LE1	LE3	Ligand	MW	N	Name	NoHBond90	Nplus	OH	OPO32minus	OS	PoseEnergy	RMSD	RerankScore	Run	SimilarityScore	Steric	Torsions	VdW (LJ12-6)	carbonyl	halogen	SMILES
30	1	0	0	0	0	21	3	6	0	-191.76	0	-191.76	0	0.0	0.0	12.7303	21.9758	13.7553	35.7311	109.20100000000001	0	0	-156.029	0.0	0.0	-156.029	[00]BindingDB_Reactant_set_id_50981887_.mvdml	0.0	31	-5.033180000000001	-4.05284	BindingDB_Reactant_set_id_50981887_	412.457	1	[00]BindingDB_Reactant_set_id_50981887_	-2.5	0	0	0	2	-156.123	0	-125.63799999999999	0	0	-191.76	6	-63.8806	2	0	O=C1OC2=C(OC)C=CC=C2C=C1C(=O)C=CC(=CC=3)C=C[N]=3CC4=CC=CC=C4C
33	1	0	0	0	0	18	15	10	0	-209.237	0	-209.237	0	0.0	0.0	6.89342	-17.1984	20.643	3.4446199999999996	129.11700000000002	0	0	-205.792	0.0	0.0	-205.792	[00]BindingDB_Reactant_set_id_51085802_.mvdml	-3.5033800000000004	37	-5.56195	-3.3454	BindingDB_Reactant_set_id_51085802_	492.69800000000004	4	[00]BindingDB_Reactant_set_id_51085802_	-7.5	0	0	0	0	-207.446	0	-123.78	0	0	-205.734	10	-34.9118	0	0	C(=C21)C=CC=C1N=C3CCCCC3=C2NCCCCCCCNC4=C5C=CC=CC5=NC=6CCCCC4=6
36	1	0	0	0	0	21	15	15	0	-229.31	0	-229.31	0	0.0	-5.0	11.3392	2.64027	37.8637	35.504	139.36	0	0	-193.80599999999998	0.0	0.0	-193.80599999999998	[00]BindingDB_Reactant_set_id_51066377_.mvdml	-1.07345	46	-4.21317	-2.44862	BindingDB_Reactant_set_id_51066377_	640.257	5	[00]BindingDB_Reactant_set_id_51066377_	-5.450819999999999	0	0	0	0	-194.524	0	-112.63600000000001	0	0	-228.236	15	-33.3384	2	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCNC(=O)CCCCCNC(=O)C4=CC=CC=C4NC5=CC=CC(C)=C5C
39	1	0	0	0	0	14	8	7	0	-184.53900000000002	0	-184.53900000000002	0	0.0	-1.19157	6.52166	27.3143	8.79682	34.9195	97.1071	0	0	-149.619	0.0	0.0	-149.619	[00]BindingDB_Reactant_set_id_51083989_.mvdml	-1.79246	32	-4.6756	-4.0265	BindingDB_Reactant_set_id_51083989_	435.472	3	[00]BindingDB_Reactant_set_id_51083989_	-8.03914	0	0	0	1	-152.618	0	-128.84799999999998	0	0	-182.74599999999998	7	-61.2752	2	0	O=C(C=1C(=O)OC=2C(=CC([N]([O])=O)=CC=2)C=1)NCCC(CC3)CCN3CC=4C=CC=CC=4
42	1	0	0	0	0	21	2	2	0	-159.531	0	-159.531	0	0.0	-2.5	1.55816	15.2416	1.55816	14.2998	70.9877	0	0	-145.231	0.0	-3.7765199999999997	-145.231	[00]BindingDB_Reactant_set_id_50400909_ [Region 0].mvdml	-0.030839599999999995	29	-5.007969999999999	-3.96119	BindingDB_Reactant_set_id_50400909_ [Region: 0]	381.45	3	[00]BindingDB_Reactant_set_id_50400909_ [Region 0]	-5.0	1	0	0	0	-146.84	0	-114.874	0	0	-155.72299999999998	2	-41.9817	1	0	O=c(C1=C[CH]C(=[N+](C)C)C=C1)[nH]=CC=[N]=C2C=3C=CC=C[C]=3=[N]=[C]=4C2=[CH]=C[CH]C=4
45	1	0	0	0	0	12	24	27	0	-192.862	0	-192.862	0	0.0	-2.5	0.0	-34.9873	47.3696	9.88229	73.385	0	0	-182.98	0.0	0.0	-182.98	[00]BindingDB_Reactant_set_id_51101681_.mvdml	-2.38999	42	-4.35666	-1.80282	BindingDB_Reactant_set_id_51101681_	582.903	4	[00]BindingDB_Reactant_set_id_51101681_	-13.2667	0	0	0	2	-190.40599999999998	0	-75.7186	0	0	-190.472	27	15.4271	0	0	NCCCCCCN(CC1=C(C=CC=C1)OC)CCCCCCCCN(CCCCCCN)CC=2C=CC=CC=2OC
48	1	0	0	0	0	12	15	5	0	-175.56099999999998	0	-175.56099999999998	0	0.0	-8.09248	3.8319300000000003	47.0738	9.27117	48.2525	152.11	0	0	-127.309	0.0	0.0	-127.309	[00]BindingDB_Reactant_set_id_50504033_.mvdml	-6.07265	39	-3.2643299999999997	-1.15229	BindingDB_Reactant_set_id_50504033_	542.5740000000001	0	[00]BindingDB_Reactant_set_id_50504033_	-13.3557	0	3	0	5	-131.42600000000002	0	-44.9393	0	0	-169.489	5	67.1037	2	0	O=C(O1)C=2CC3(O)C4(C)C(=O)C=CC(C)(CO)C4(O)CCC3(C)OC=2C=C1C(=C5)C=C(OC)C(OC)=C5OC
51	1	0	0	0	0	14	12	11	0	-225.078	0	-225.078	0	0.0	-22.063000000000002	0.204629	10.4053	16.5371	4.87937	117.025	0	0	-220.19799999999998	0.0	0.0	-220.19799999999998	[00]BindingDB_Reactant_set_id_50394868_.mvdml	-3.46593	43	-5.12089	-3.2964	BindingDB_Reactant_set_id_50394868_	598.601	4	[00]BindingDB_Reactant_set_id_50394868_	-25.0189	0	3	0	4	-238.18	0	-141.745	0	0	-221.612	11	-38.785	3	0	O=C1NC(=O)C=CN1C(O2)C(O)CC2C(OC3C(O)C(O)C(CN)O3)CNC(=O)C(=CC=4)C=CC=4OCC=5C=CC=CC=5
54	1	0	0	0	0	21	1	5	0	-180.11700000000002	0	-180.11700000000002	0	0.0	0.0	9.66975	22.7039	9.82906	32.533	109.156	0	0	-147.584	0.0	0.0	-147.584	[00]BindingDB_Reactant_set_id_50981880_.mvdml	-1.84664	30	-4.91947	-3.90406	BindingDB_Reactant_set_id_50981880_	465.291	1	[00]BindingDB_Reactant_set_id_50981880_	-2.69676	0	0	0	1	-147.056	0	-117.12200000000001	0	0	-178.27	5	-52.1826	2	2	BrC(=CC=1)C=C(C=2)C=1OC(=O)C=2C(=O)C=CC(=CC=3)C=C[N]=3CC=4C=CC(F)=CC=4
57	1	0	0	0	0	21	2	6	0	-189.68900000000002	0	-189.68900000000002	0	0.0	0.0	8.405380000000001	30.0916	8.83716	38.9288	113.306	0	0	-150.761	0.0	0.0	-150.761	[00]BindingDB_Reactant_set_id_50981891_.mvdml	0.0	31	-4.86324	-4.1536	BindingDB_Reactant_set_id_50981891_	432.876	1	[00]BindingDB_Reactant_set_id_50981891_	-2.5	0	0	0	2	-150.829	0	-128.762	0	0	-189.68900000000002	6	-62.28	2	1	ClC1=CC=CC=C1C[N](=CC=2)C=CC=2C=CC(=O)C3=CC4=CC=CC(OC)=C4OC3=O
60	1	0	0	0	0	15	17	16	0	-229.317	0	-229.317	0	0.0	-6.701280000000001	14.6049	2.5299099999999997	38.0735	33.9021	144.35299999999998	0	0	-195.415	0.0	0.0	-195.415	[00]BindingDB_Reactant_set_id_50849633_.mvdml	-2.1987099999999997	42	-4.6527400000000005	-2.9149599999999998	BindingDB_Reactant_set_id_50849633_	574.7769999999999	5	[00]BindingDB_Reactant_set_id_50849633_	-11.5159	0	0	0	1	-201.321	0	-122.428	0	0	-227.11900000000003	16	-57.0078	2	0	O=C(C1=CC=C(OCC[N](CC)(CC)CC)C=C1)NCCCCCC(=O)NNC2=C3C=CC=CC3=NC=4CCCCC2=4
63	1	0	0	0	0	21	2	6	0	-180.42700000000002	0	-180.42700000000002	0	0.0	0.0	10.8742	21.976	11.7661	33.7421	107.601	0	0	-146.685	0.0	0.0	-146.685	[00]BindingDB_Reactant_set_id_50981894_.mvdml	-0.717735	31	-4.7317800000000005	-3.64342	BindingDB_Reactant_set_id_50981894_	416.421	1	[00]BindingDB_Reactant_set_id_50981894_	-7.46137	0	0	0	2	-151.121	0	-112.946	0	0	-179.71	6	-48.3782	2	1	FC(=C1)C=CC=C1C[N](=CC=2)C=CC=2C=CC(=O)C3=CC4=CC=CC(OC)=C4OC3=O
66	1	0	0	0	0	15	8	4	0	-170.333	0	-170.333	0	0.0	0.0	0.310886	26.7762	4.9768300000000005	31.7531	113.405	0	0	-138.58	0.0	0.0	-138.58	[00]BindingDB_Reactant_set_id_50506916_.mvdml	-1.7114099999999999	30	-4.61934	-4.08476	BindingDB_Reactant_set_id_50506916_	400.49300000000005	3	[00]BindingDB_Reactant_set_id_50506916_	-6.14224	0	0	0	0	-141.328	0	-122.54299999999999	0	0	-168.622	4	-57.6878	2	0	O=C(C=1(C=2))C(=C43)C=CC=C4C=CN=C3C=1C=CC=2NC(=O)CC[N]5(C)CCCCC5
69	1	0	0	0	0	22	11	10	0	-199.141	0	-199.141	0	0.0	0.0	0.0	-19.840999999999998	19.8582	0.0172257	99.262	0	0	-199.12400000000002	0.0	0.0	-199.12400000000002	[00]BindingDB_Reactant_set_id_50574351_.mvdml	-1.8934400000000002	37	-5.38173	-3.5405800000000003	BindingDB_Reactant_set_id_50574351_	490.68199999999996	4	[00]BindingDB_Reactant_set_id_50574351_	-3.29947	0	0	0	0	-198.52200000000002	0	-131.002	0	0	-197.248	10	-43.5302	0	0	C[N](=CC=21)C=CC=2C=3C=CC=CC=3N1CCCCCCCCCN4C=5C=[N](C)C=CC=5C6=C4C=CC=C6
72	1	0	0	0	0	21	14	13	0	-211.42700000000002	0	-211.42700000000002	0	0.0	0.0	2.6754700000000002	0.9073889999999999	6.275919999999999	7.1833100000000005	172.479	0	0	-204.24400000000003	0.0	0.0	-204.24400000000003	[00]BindingDB_Reactant_set_id_51066400_.mvdml	0.0	42	-4.86295	0.546508	BindingDB_Reactant_set_id_51066400_	583.206	4	[00]BindingDB_Reactant_set_id_51066400_	-0.191932	0	0	0	0	-200.706	0	22.9533	0	0	-211.42700000000002	13	255.672	1	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCCCNC(=O)C4=CC=CC=C4NC5=CC=CC(C)=C5C
75	1	0	0	0	0	27	2	5	0	-196.28400000000002	0	-196.28400000000002	0	0.0	0.0	2.59729	-7.32131	2.59729	-4.724019999999999	76.079	0	0	-201.00799999999998	-5.72918	-3.5871699999999995	-201.00799999999998	[00]BindingDB_Reactant_set_id_50400915_ [Region 0].mvdml	-2.20863	35	-5.74308	-2.07937	BindingDB_Reactant_set_id_50400915_ [Region: 0]	459.56199999999995	3	[00]BindingDB_Reactant_set_id_50400915_ [Region 0]	-2.6212400000000002	1	0	0	0	-198.236	0	-72.7779	0	0	-184.75900000000001	5	90.0228	1	0	O=c(C1=[CH]=CC(=[N+](C)C)C=C1)[nH]=[CH]=C[CH]C=[CH]=C[CH]C=[N]=C2C=3C=CC=C[C]=3=[N]=[C]=4C2=[CH]=C[CH]C=4
78	1	0	0	0	0	8	14	10	0	-185.953	0	-185.953	0	0.0	-18.0556	0.0	-0.962908	8.86346	-10.155	58.4222	0	0	-196.108	0.0	0.0	-196.108	[00]BindingDB_Reactant_set_id_50394870_.mvdml	-9.29402	37	-5.3002	-3.84876	BindingDB_Reactant_set_id_50394870_	522.548	4	[00]BindingDB_Reactant_set_id_50394870_	-26.2443	0	3	0	4	-210.19099999999997	0	-142.404	0	0	-176.658	10	-56.5194	2	0	O=C1NC(=O)C=CN1C(O2)C(O)CC2C(OC3C(O)C(O)C(CN)O3)CN(C)CC(=CC=4)C=CC=4OC
81	1	0	0	0	0	28	2	5	0	-193.018	0	-193.018	0	0.0	0.0	3.8071800000000002	-19.957	3.8071800000000002	-16.1498	77.8151	0	0	-209.168	0.0	-4.44698	-209.168	[00]BindingDB_Reactant_set_id_50400916_ [Region 0].mvdml	-2.5	36	-5.81021	-1.9039400000000002	BindingDB_Reactant_set_id_50400916_ [Region: 0]	472.58	3	[00]BindingDB_Reactant_set_id_50400916_ [Region 0]	-2.5	1	0	0	0	-204.321	0	-68.5419	0	0	-186.071	5	90.8074	1	0	O=c(C1=C[CH]C(=[N+](C)C)C=C1)[nH]=[CH]=[CH]=C[CH]C=[CH]=C[CH]C=[N]=C2C=3C=CC=C[C]=3=[N]=[C]=4C2=[CH]=C[CH]C=4
84	1	0	0	0	0	15	16	14	0	-205.62	0	-205.62	0	0.0	0.0	4.81491	7.046239999999999	13.630999999999998	20.6773	107.917	0	0	-184.94299999999998	-2.14582	-4.21441	-184.94299999999998	[00]BindingDB_Reactant_set_id_50954083_.mvdml	-0.029690300000000003	35	-5.28407	-3.94181	BindingDB_Reactant_set_id_50954083_	472.708	3	[00]BindingDB_Reactant_set_id_50954083_	-0.189693	1	0	0	0	-181.755	0	-137.963	0	0	-199.23	14	-57.7056	0	0	C[N+](C)C=1C=CC=CC=1CNCCCCCCCCCNC=2C=3CCCCC=3N=C4C=2C=CC=C4
87	1	0	0	0	0	22	1	3	0	-173.343	0	-173.343	0	0.0	-5.0	2.10393	24.7235	4.733219999999999	24.4567	134.768	0	0	-148.886	0.0	0.0	-148.886	[00]BindingDB_Reactant_set_id_51061472_.mvdml	-1.18991	33	-4.5117	-1.8952900000000001	BindingDB_Reactant_set_id_51061472_	438.43300000000005	5	[00]BindingDB_Reactant_set_id_51061472_	-7.80703	0	0	0	0	-153.39600000000002	0	-62.5445	0	0	-172.153	3	52.0297	2	1	FC(=C1)C=CC=[N]1CC(=O)NC=2C=C3C(=O)N4C=CC=5C6=CC=CC=C6NC=5C4=NC3=CC=2
90	1	0	0	0	0	25	2	4	0	-181.46200000000002	0	-181.46200000000002	0	0.0	0.0	2.5575099999999997	8.573	2.5575099999999997	11.1305	73.1306	0	0	-170.332	-6.5214300000000005	-3.7308199999999996	-170.332	[00]BindingDB_Reactant_set_id_50400913_ [Region 0].mvdml	0.0	33	-5.161569999999999	-3.2078	BindingDB_Reactant_set_id_50400913_ [Region: 0]	433.524	3	[00]BindingDB_Reactant_set_id_50400913_ [Region 0]	-8.45885	1	0	0	0	-175.128	0	-105.85700000000001	0	0	-171.21	4	4.36488	1	0	O=c(C1=[CH]=CC(=[N+](C)C)C=C1)[nH]=CC=[CH]=C[CH]C=[N]=C2C=3C=CC=C[C]=3=[N]=[C]=4C2=[CH]=C[CH]C=4
93	1	0	0	0	0	9	13	10	0	-153.941	0	-153.941	0	0.0	0.0	0.315332	5.038209999999999	9.75163	14.7898	70.9088	0	0	-139.151	0.0	0.0	-139.151	[00]BindingDB_Reactant_set_id_51066422_.mvdml	-0.037449800000000005	26	-5.35198	-2.95447	BindingDB_Reactant_set_id_51066422_	373.963	3	[00]BindingDB_Reactant_set_id_51066422_	-4.1973199999999995	0	0	0	0	-141.747	0	-76.8162	0	0	-153.904	10	16.3623	0	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCCCCN
96	1	0	0	0	0	8	17	9	0	-214.804	0	-214.804	0	0.0	-20.1111	4.7657099999999994	3.20633	15.9268	-0.9780479999999999	67.8582	0	0	-215.782	0.0	0.0	-215.782	[00]BindingDB_Reactant_set_id_50394869_.mvdml	-7.32655	41	-5.262980000000001	-3.11027	BindingDB_Reactant_set_id_50394869_	574.623	4	[00]BindingDB_Reactant_set_id_50394869_	-23.3092	0	3	0	3	-228.06	0	-127.521	0	0	-207.47799999999998	9	-13.7762	3	0	O=C1NC(=O)C=CN1C(O2)C(O)CC2C(OC3C(O)C(O)C(CN)O3)CNC(=O)C(=CC=4)C=CC=4C5CCCCC5
99	1	0	0	0	0	9	16	13	0	-169.11	0	-169.11	0	0.0	0.0	4.58703	-20.0357	17.459	-2.57668	65.7608	0	0	-171.687	0.0	0.0	-171.687	[00]BindingDB_Reactant_set_id_51066420_.mvdml	-3.10638	29	-5.92024	-3.92628	BindingDB_Reactant_set_id_51066420_	416.042	3	[00]BindingDB_Reactant_set_id_51066420_	-9.46071	0	0	0	0	-175.363	0	-113.86200000000001	0	0	-166.00400000000002	13	-42.2358	0	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCCCCCCCN
102	1	0	0	0	0	21	16	15	0	-227.46400000000003	0	-227.46400000000003	0	0.0	-0.569236	18.942	-9.874889999999999	43.886	33.4419	130.475	0	0	-194.023	0.0	0.0	-194.023	[00]BindingDB_Reactant_set_id_51066398_.mvdml	0.0	44	-4.4096	-2.24937	BindingDB_Reactant_set_id_51066398_	611.259	4	[00]BindingDB_Reactant_set_id_51066398_	0.0	0	0	0	0	-190.30900000000003	0	-98.9721	0	0	-227.46400000000003	15	-23.6051	1	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCCCCCNC(=O)C4=CC=CC=C4NC5=CC=CC(C)=C5C
105	1	0	0	0	0	22	1	3	0	-171.331	0	-171.331	0	0.0	-5.0	0.964274	27.3174	1.04684	23.3643	132.954	0	0	-147.966	0.0	0.0	-147.966	[00]BindingDB_Reactant_set_id_51061473_.mvdml	0.0	32	-4.62395	-2.00656	BindingDB_Reactant_set_id_51061473_	420.44300000000004	5	[00]BindingDB_Reactant_set_id_51061473_	-3.4775	0	0	0	0	-148.809	0	-64.2101	0	0	-171.331	3	53.5621	2	0	O=C(C1(=C2))N3C=CC=4C5=CC=CC=C5NC=4C3=NC1=CC=C2NC(=O)C[N]=6C=CC=CC=6
108	1	0	0	0	0	9	14	11	0	-176.56599999999997	0	-176.56599999999997	0	0.0	0.0	1.80605	15.0826	11.745	26.8275	99.0656	0	0	-149.739	0.0	0.0	-149.739	[00]BindingDB_Reactant_set_id_51066421_.mvdml	-4.92068	27	-5.54587	-4.5290099999999995	BindingDB_Reactant_set_id_51066421_	387.98900000000003	3	[00]BindingDB_Reactant_set_id_51066421_	-7.48423	0	0	0	0	-150.091	0	-122.28299999999999	0	0	-171.645	11	-54.7233	0	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCCCCCN
111	1	0	0	0	0	21	12	11	0	-216.917	0	-216.917	0	0.0	-2.5	4.32791	-17.9835	8.73047	-11.753	140.483	0	0	-228.67	0.0	0.0	-228.67	[00]BindingDB_Reactant_set_id_51066376_.mvdml	-2.7029400000000003	40	-5.71674	-1.51112	BindingDB_Reactant_set_id_51066376_	555.153	4	[00]BindingDB_Reactant_set_id_51066376_	-8.77157	0	0	0	0	-230.28900000000002	0	-60.4448	0	0	-214.21400000000003	11	114.955	1	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCNC(=O)C4=CC=CC=C4NC5=CC=CC(C)=C5C
114	1	0	0	0	0	10	4	8	0	-170.787	0	-170.787	0	0.0	-19.6678	8.54878	-3.2364	11.8886	-11.0156	72.8064	0	0	-181.803	0.0	0.0	-181.803	[00]BindingDB_Reactant_set_id_51030040_.mvdml	-4.07374	30	-6.06008	-4.12606	BindingDB_Reactant_set_id_51030040_	453.45	5	[00]BindingDB_Reactant_set_id_51030040_	-15.9673	0	0	0	3	-191.96900000000002	0	-123.78200000000001	0	0	-166.713	8	-60.6798	2	0	O=C1N2C(C(O)=O)=C(C=C)CSC2C1NC(=O)C(=NOCC(O)=O)C=3N=C(N)SC=3
117	1	0	0	0	0	15	7	4	0	-164.74599999999998	0	-164.74599999999998	0	0.0	0.0	0.151206	21.8927	4.08524	25.9779	102.539	0	0	-138.768	0.0	0.0	-138.768	[00]BindingDB_Reactant_set_id_50850845_.mvdml	-1.6938	29	-4.7851099999999995	-4.15989	BindingDB_Reactant_set_id_50850845_	386.466	3	[00]BindingDB_Reactant_set_id_50850845_	-6.2838400000000005	0	0	0	0	-141.85299999999998	0	-120.637	0	0	-163.05200000000002	4	-55.1374	2	0	O=C(CC[N]1(C)CCCC1)NC(=C2)C=CC3=C2C(=O)C=4C5=C3N=CC=C5C=CC=4
120	1	0	0	0	0	15	6	3	0	-159.688	0	-159.688	0	0.0	-2.3790299999999998	5.71059	17.6379	8.112919999999999	23.3718	102.389	0	0	-136.316	0.0	0.0	-136.316	[00]BindingDB_Reactant_set_id_50850874_.mvdml	-1.8068	28	-4.8684400000000005	-3.8653699999999995	BindingDB_Reactant_set_id_50850874_	372.44	3	[00]BindingDB_Reactant_set_id_50850874_	-5.0	0	0	0	0	-137.857	0	-108.23	0	0	-157.881	3	-50.6581	2	0	O=C(C[N]1(C)CCCC1)NC(=C2)C=CC3=C2C(=O)C=4C5=C3N=CC=C5C=CC=4
123	1	0	0	0	0	21	14	14	0	-222.81799999999998	0	-222.81799999999998	0	0.0	-2.88485	18.820999999999998	3.9409	27.6121	28.6681	126.01700000000001	0	0	-194.15	0.0	0.0	-194.15	[00]BindingDB_Reactant_set_id_51066407_.mvdml	4.42978	45	-4.31444	-2.05824	BindingDB_Reactant_set_id_51066407_	626.231	5	[00]BindingDB_Reactant_set_id_51066407_	1.20707	0	0	0	0	-193.273	0	-92.6206	0	0	-227.248	14	6.939210000000001	2	1	ClC(C=1)=CC=C2C=1N=C3CCCCC3=C2NCCCCCCNC(=O)CCNC(=O)C4=CC=CC=C4NC5=CC=CC(C)=C5C
